Wärmebrücke,Zusatzinfo Wärmebrücke,Bezeichnung,Psi-Wert,mit Referenzbauteil,ebz,W&P,VHAG,Datum,Nr.,BV,Name,Farbe,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP30(19)-200mm042US+FS-100mm036_ohne Foamglas+SD_Ausgleichsstein PPW4,0.1692,,,,X,30.01.2019,1686,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP40(19)-060mm035US+FS_ohne Foamglas + SD_Ausgleichsstein PPW4,0.1082,,,,X,22.12.2021,2354,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm035-BP16(19)-060mm035US,0.0442,,,,X,16.02.2015,337,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm035-BP16(19)-060mm035US_ohne Foamglas + SD_Streifenfundament,0.0319,,,,X,18.07.2017,1287,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm035-BP16(19)-060mm035US+FS_ohne Foamglas + SD_Ausgleichsstein PPW4_rel. Länge ab UKUS,0.0190,,,,X,09.10.2018,1603,5018058,Wuschick,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm035-BP16(19)-060mm035US+FS_ohne Foamglas+ ohneSD,0.0458,,,,X,01.03.2017,1056,,,orange,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm035-BP16(19)-060mm035US+FS-120mm035_ohne Foamglas + OHNE SD,0.0425,,,,X,20.01.2017,1010,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm035-BP16(19)-060mm037US+FS_ohne Foamglas + SD_Ausgleichsstein PPW4,0.0447,,,,X,14.03.2019,1737,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm035-BP16(19)-100mm036US+FS-100mm036_ohne Foamglas + SD,0.0758,,,,X,04.04.2016,604,,,light yellow,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm035-BP16(19)-100mm036US+FS-100mm036_ohne Foamglas + SD_Ausgleichsstein PPW4_rel. Länge ab UKUS,0.0432,,,,X,09.10.2018,1603,5018058,Wuschick,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm035-BP16(19)-100mm036US+FS-100mm036_ohne Foamglas mit SD,0.0471,,,,X,15.04.2016,769,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm035-BP16(19)-100mm036US+FS-100mm036_ohneFoamglas + SD_Streifenfundament,0.0642,,,,X,29.09.2016,909,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm035-BP16(19)-100mm038US+FS-100mm038_ohne Foamglas + SD,0.0700,,,,X,09.03.2017,1068,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm035-BP16(19)-120mm036US+FS-100mm036_ohne Foamglas + SD,0.0879,,,,X,04.04.2016,608,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm035-BP16(19)-140mm039US+FS-100mm038_ohne Foamglas +ohne SD,0.0937,,,,X,25.04.2017,1159,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm035-BP16(19)-200mm037US+FS-100mm036-Stirndämmung_rel Länge ab OKRF,0.0454,,,,X,11.03.2014,199,,,,,
